trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.19204990862075408, 'e': 0.19204990862075408}",25,3,-32.85567901003931,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.1901389801015205, 'e': 0.1901389801015205}",20,13,15.464790458680657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1882470656387468, 'e': 0.1882470656387468}",20,6,20.39772939874108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.18637397603940997, 'e': 0.18637397603940997}",25,3,-108.77242148908562,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 3}",1
170,False,"{'a': 0.18451952399298926, 'e': 0.18451952399298926}",20,8,13.689116125588477,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.18268352405273466, 'e': 0.18268352405273466}",25,10,4.905866535931332,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.1808657926171221, 'e': 0.1808657926171221}",20,12,5.62123578982481,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.17906614791149322, 'e': 0.17906614791149322}",25,0,31.263592035780174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.17728440996987782, 'e': 0.17728440996987782}",25,13,-1.2184017630884423,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.17552040061699686, 'e': 0.17552040061699686}",30,5,-24.560739687282094,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.17377394345044514, 'e': 0.17377394345044514}",20,2,-13.991302092301295,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.17204486382305054, 'e': 0.17204486382305054}",20,8,10.637948370044613,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.17033298882540943, 'e': 0.17033298882540943}",20,0,3.1812954151559203,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
179,False,"{'a': 0.1686381472685955, 'e': 0.1686381472685955}",25,10,7.261934201012275,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.1669601696670407, 'e': 0.1669601696670407}",20,6,11.332208608963864,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.16529888822158653, 'e': 0.16529888822158653}",20,9,17.5463484785556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.16365413680270405, 'e': 0.16365413680270405}",20,16,6.133755556891579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.16202575093388075, 'e': 0.16202575093388075}",20,10,17.804928147327125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.16041356777517274, 'e': 0.16041356777517274}",20,4,19.10920847082874,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.15881742610692068, 'e': 0.15881742610692068}",30,17,17.98290950204921,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1572371663136276, 'e': 0.1572371663136276}",20,2,17.921917440355163,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.1556726303679973, 'e': 0.1556726303679973}",25,17,-27.168982695636497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.1541236618151314, 'e': 0.1541236618151314}",20,0,21.701814854779467,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.15259010575688386, 'e': 0.15259010575688386}",25,14,5.164991488479444,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.15107180883637084, 'e': 0.15107180883637084}",20,8,18.55057732954061,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.14956861922263504, 'e': 0.14956861922263504}",20,0,32.712952844496996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.14808038659546244, 'e': 0.14808038659546244}",25,0,-31.24185902417148,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
193,False,"{'a': 0.14660696213035015, 'e': 0.14660696213035015}",25,19,-32.06672489600577,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.14514819848362373, 'e': 0.14514819848362373}",25,20,10.736438640497521,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.14370394977770293, 'e': 0.14370394977770293}",25,1,-12.060949051427267,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
196,False,"{'a': 0.1422740715865136, 'e': 0.1422740715865136}",20,2,33.77026841943507,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.140858420921045, 'e': 0.140858420921045}",25,13,-24.538047703233502,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.13945685621505094, 'e': 0.13945685621505094}",20,15,7.725598854805159,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.13806923731089282, 'e': 0.13806923731089282}",25,9,11.853415660845863,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.13669542544552385, 'e': 0.13669542544552385}",25,4,3.8597945233886235,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.1353352832366127, 'e': 0.1353352832366127}",25,7,29.181790209692707,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.13398867466880493, 'e': 0.13398867466880493}",35,16,11.779282667657146,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.13265546508012172, 'e': 0.13265546508012172}",25,16,13.845322608950559,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.13133552114849303, 'e': 0.13133552114849303}",20,10,-20.4413051726295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
